seed,summary_type,config_branch,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_target_edge_retention,mean_purified_confidence,mean_purified_margin,mean_target_degree,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts,selection_status_counts,failure_reason_counts
7,oracle-best-correct,mainline,clean-training,clean-training,0.01,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.4166666666666667,0.16666666666666666,0.16666666666666666,1,0.646847433412404,0.29369486682480805,0.3824404761904762,0.2856815221409003,0.13097226930161318,2.1666666666666665,7,5,balanced-sparse-0.2:5; balanced-sparse-0.2-degree-adaptive:3; symmetric-0.3:1; symmetric-0.3-top2:3,best-correct-radius:7; fallback-mainline:5,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,oracle-best-correct,mainline,clean-training,clean-training,0.02,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.16666666666666666,1,0.6194704218107013,0.23894084362140244,0.3824404761904762,0.28568151717384654,0.130972263092796,2.1666666666666665,8,4,balanced-sparse-0.2:4; balanced-sparse-0.2-degree-adaptive:3; symmetric-0.2:1; symmetric-0.3:1; symmetric-0.3-cosine-top2:2; symmetric-0.3-top2:1,best-correct-radius:8; fallback-mainline:4,abstained:1; positive-radius:2; prediction-incorrect:4; zero-radius:5
7,oracle-best-correct,mainline,clean-training,clean-training,0.05,12,0.75,0.6666666666666666,0.25,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.16666666666666666,1,0.6325404615914079,0.2650809231828159,0.26190476190476186,0.34251102556784946,0.19378500431776047,1.4166666666666667,8,4,balanced-sparse-0.2:5; balanced-sparse-0.2-degree-adaptive:1; symmetric-0.2:1; symmetric-0.3:1; symmetric-0.3-cosine-top2:2; symmetric-0.3-top2:2,best-correct-radius:8; fallback-mainline:4,abstained:1; positive-radius:2; prediction-incorrect:4; zero-radius:5
7,oracle-best-correct,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0833333333333333,4,0.8632860620493171,0.7265721240986341,0.36567460317460315,0.3987041264772415,0.23807797208428383,2.4166666666666665,4,8,balanced-sparse-0.2:8; symmetric-0.3:1; symmetric-0.3-cosine-top2:1; symmetric-0.3-top2:2,best-correct-radius:4; fallback-mainline:8,positive-radius:4; prediction-incorrect:8
7,oracle-best-correct,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0833333333333333,4,0.8534612474525511,0.7069224949051023,0.36567460317460315,0.39870413144429523,0.23807797332604727,2.4166666666666665,4,8,balanced-sparse-0.2:8; symmetric-0.3:2; symmetric-0.3-cosine-top2:1; symmetric-0.3-top2:1,best-correct-radius:4; fallback-mainline:8,positive-radius:4; prediction-incorrect:8
7,oracle-best-correct,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.75,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0833333333333333,4,0.863905121885712,0.7278102437714241,0.30393217893217894,0.3674538532892863,0.19552293668190637,2.0,4,8,balanced-sparse-0.2:8; symmetric-0.3-cosine-top2:1; symmetric-0.3-top2:3,best-correct-radius:4; fallback-mainline:8,positive-radius:4; prediction-incorrect:8
7,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,12,0.75,0.25,0.0,0.0,0.0,0.25,1.25,5,0.9811771485586083,0.9623542971172169,0.41577380952380955,0.35518744339545566,0.19982042722404003,2.5833333333333335,3,9,balanced-sparse-0.2:9; symmetric-0.3:3,best-correct-radius:3; fallback-mainline:9,positive-radius:3; prediction-incorrect:9
7,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,12,0.75,0.25,0.0,0.0,0.0,0.25,1.25,5,0.9811771485586083,0.9623542971172169,0.41577380952380955,0.35518744836250943,0.19982043219109377,2.5833333333333335,3,9,balanced-sparse-0.2:9; symmetric-0.3:3,best-correct-radius:3; fallback-mainline:9,positive-radius:3; prediction-incorrect:9
7,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,12,0.6666666666666666,0.25,0.0,0.0,0.0,0.25,1.25,5,0.9811771485586083,0.9623542971172169,0.2998015873015873,0.3816533188025157,0.23096557706594467,1.9166666666666667,3,9,balanced-sparse-0.2:9; symmetric-0.3:3,best-correct-radius:3; fallback-mainline:9,positive-radius:3; prediction-incorrect:9
7,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,12,0.6666666666666666,0.6666666666666666,0.25,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.16666666666666666,1,0.6328478267301149,0.26569565346022966,0.3824404761904762,0.28568152462442714,0.13097227302690348,2.1666666666666665,8,4,balanced-sparse-0.2:4; balanced-sparse-0.2-degree-adaptive:2; symmetric-0.2:2; symmetric-0.3:2; symmetric-0.3-cosine-top2:2,best-correct-radius:8; fallback-mainline:4,abstained:1; positive-radius:2; prediction-incorrect:4; zero-radius:5
