p_flip,node_idx,predicted_class,true_label,is_correct,certified_radius,reported_certified_radius,pA_lower
0.01,1747,4,2,False,0,0,0.6907251344151877
0.01,1855,3,3,True,0,0,0.3730453777900759
0.01,2000,4,3,False,0,0,0.5122970995602374
0.01,2086,1,1,True,0,0,0.3448545486821702
0.01,2181,4,0,False,0,0,0.4212872207421646
0.01,2395,4,6,False,0,0,0.7662042895969994
0.01,2420,4,3,False,0,0,0.5019027547317253
0.01,2423,4,6,False,0,0,0.29015258165997454
0.01,2488,4,1,False,0,0,0.5333135794551583
0.01,2690,3,6,False,0,0,0.5983446983797281
0.02,1747,4,2,False,0,0,0.9043898889256569
0.02,1855,4,3,False,0,0,0.6787434202466509
0.02,2000,4,3,False,0,0,0.6207600217452961
0.02,2086,4,1,False,0,0,0.8071622933786783
0.02,2181,4,0,False,0,0,0.8853715217728936
0.02,2395,4,6,False,0,0,0.8853715217728936
0.02,2420,4,3,False,0,0,0.7151449367894536
0.02,2423,4,6,False,0,0,0.7402584951597289
0.02,2488,4,1,False,0,0,0.8363850074725852
0.02,2690,3,6,False,0,0,0.4212872207421646
0.05,1747,4,2,False,0,0,0.9268078424558299
0.05,1855,4,3,False,0,0,0.9268078424558299
0.05,2000,4,3,False,0,0,0.8853715217728936
0.05,2086,4,1,False,0,0,0.9268078424558299
0.05,2181,4,0,False,0,0,0.9268078424558299
0.05,2395,4,6,False,0,0,0.9268078424558299
0.05,2420,4,3,False,0,0,0.9043898889256569
0.05,2423,4,6,False,0,0,0.8853715217728936
0.05,2488,4,1,False,0,0,0.9268078424558299
0.05,2690,4,6,False,0,0,0.6669003397422008
0.1,1747,4,2,False,0,0,0.9268078424558299
0.1,1855,4,3,False,0,0,0.9268078424558299
0.1,2000,4,3,False,0,0,0.9268078424558299
0.1,2086,4,1,False,0,0,0.9268078424558299
0.1,2181,4,0,False,0,0,0.9268078424558299
0.1,2395,4,6,False,0,0,0.9268078424558299
0.1,2420,4,3,False,0,0,0.9268078424558299
0.1,2423,4,6,False,0,0,0.9268078424558299
0.1,2488,4,1,False,0,0,0.9268078424558299
0.1,2690,4,6,False,0,0,0.9268078424558299
