p_delete,p_add,max_additions,node_idx,predicted_class,true_label,is_correct,asymmetric_total_radius,reported_asymmetric_total_radius,max_delete_budget,max_add_budget,pA_lower
0.01,5e-06,64,1747,2,2,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1855,3,3,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2000,3,3,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2086,1,1,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2181,0,0,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2395,0,6,False,0,0,0,0,0.8215343089414848
0.01,5e-06,64,2420,3,3,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2423,0,6,False,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2488,1,1,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2690,3,6,False,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1747,2,2,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1855,3,3,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2000,3,3,True,0,0,0,0,0.9043898889256569
0.02,1e-05,96,2086,1,1,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2181,0,0,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2395,0,6,False,0,0,0,0,0.779549516673877
0.02,1e-05,96,2420,3,3,True,0,0,0,0,0.8215343089414848
0.02,1e-05,96,2423,0,6,False,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2488,1,1,True,0,0,0,0,0.8853715217728936
0.02,1e-05,96,2690,3,6,False,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1747,2,2,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1855,3,3,True,0,0,0,0,0.8680580560472634
0.05,2e-05,160,2000,3,3,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2086,1,1,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2181,0,0,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2395,0,6,False,0,0,0,0,0.7151449367894536
0.05,2e-05,160,2420,3,3,True,0,0,0,0,0.8215343089414848
0.05,2e-05,160,2423,0,6,False,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2488,1,1,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2690,3,6,False,0,0,0,0,0.9268078424558299
